t,line
4095.9233,MEAS ms=109604 seq=3413 src=1 c9=1012 c10=1500 c11=1012 c12=1500 step=0
4095.9234,MEAS ms=109649 seq=3414 src=1 c9=1012 c10=1500 c11=1012 c12=1500 step=0
4095.9234,MEAS ms=109694 seq=3415 src=1 c9=1012 c10=1500 c11=1012 c12=1500 step=0
4096.0780,MEAS ms=109739 seq=3416 src=1 c9=1012 c10=1500 c11=1012 c12=1500 step=0
4096.0781,MEAS ms=109784 seq=3417 src=1 c9=1012 c10=1500 c11=1012 c12=1500 step=0
4096.0781,MEAS ms=109829 seq=3418 src=1 c9=1012 c10=1500 c11=1012 c12=1500 step=0
4096.0781,MEAS ms=109874 seq=3419 src=1 c9=1012 c10=1500 c11=1012 c12=1500 step=0
4096.1042,MEAS ms=109894 seq=3420 src=1 c9=1012 c10=1500 c11=1012 c12=1500 step=0
4096.1042,MEAS ms=109902 seq=3421 src=1 c9=1012 c10=1500 c11=1012 c12=1500 step=0
4096.1043,MEAS ms=109911 seq=3422 src=1 c9=1012 c10=1500 c11=1012 c12=1500 step=0
4096.1761,MEAS ms=109920 seq=3423 src=1 c9=1012 c10=1500 c11=1012 c12=1500 step=0
4096.1762,MEAS ms=109929 seq=3424 src=1 c9=1012 c10=1500 c11=1012 c12=1500 step=0
4096.1762,MEAS ms=109964 seq=3425 src=1 c9=1012 c10=1500 c11=1012 c12=1500 step=0
4096.1762,MEAS ms=109984 seq=3426 src=1 c9=1012 c10=1500 c11=1012 c12=1500 step=0
4096.2035,MEAS ms=109992 seq=3427 src=1 c9=1012 c10=1500 c11=1012 c12=1500 step=0
4096.2035,MEAS ms=110001 seq=3428 src=1 c9=1012 c10=1500 c11=1012 c12=1500 step=0
4096.2035,MEAS ms=110010 seq=3429 src=1 c9=1012 c10=1500 c11=1012 c12=1500 step=0
4096.3831,MEAS ms=110019 seq=3430 src=1 c9=1012 c10=1500 c11=1012 c12=1500 step=0
4096.3831,MEAS ms=110064 seq=3431 src=1 c9=1012 c10=1500 c11=1012 c12=1500 step=0
4096.3831,MEAS ms=110109 seq=3432 src=1 c9=1012 c10=1500 c11=1012 c12=1500 step=0
4096.3831,MEAS ms=110154 seq=3433 src=1 c9=935 c10=1012 c11=1012 c12=1012 step=0
4096.5187,MEAS ms=110199 seq=3434 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4096.5187,MEAS ms=110244 seq=3435 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4096.5187,MEAS ms=110289 seq=3436 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4096.6360,MEAS ms=110334 seq=3437 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4096.6361,MEAS ms=110379 seq=3438 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4096.6361,MEAS ms=110424 seq=3439 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4096.6361,MEAS ms=110444 seq=3440 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4096.6634,MEAS ms=110452 seq=3441 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4096.6635,MEAS ms=110461 seq=3442 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4096.6635,MEAS ms=110470 seq=3443 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4096.8433,MEAS ms=110479 seq=3444 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4096.8433,MEAS ms=110524 seq=3445 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4096.8433,MEAS ms=110569 seq=3446 src=1 c9=1026 c10=1500 c11=1012 c12=1500 step=0
4096.8433,MEAS ms=110614 seq=3447 src=1 c9=1027 c10=1499 c11=1012 c12=1500 step=0
4096.9782,MEAS ms=110659 seq=3448 src=1 c9=1027 c10=1500 c11=1010 c12=1500 step=0
4096.9782,MEAS ms=110704 seq=3449 src=1 c9=1027 c10=1500 c11=1012 c12=1499 step=0
4096.9782,MEAS ms=110749 seq=3450 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4097.1582,MEAS ms=110794 seq=3451 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4097.1582,MEAS ms=110839 seq=3452 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4097.1582,MEAS ms=110884 seq=3453 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4097.1582,MEAS ms=110929 seq=3454 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4097.2310,MEAS ms=110974 seq=3455 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4097.2310,MEAS ms=111019 seq=3456 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4097.2310,MEAS ms=111039 seq=3457 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4097.3032,MEAS ms=111047 seq=3458 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4097.3033,MEAS ms=111056 seq=3459 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4097.3033,MEAS ms=111065 seq=3460 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4097.3033,MEAS ms=111074 seq=3461 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4097.4383,MEAS ms=111119 seq=3462 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4097.4384,MEAS ms=111164 seq=3463 src=1 c9=1027 c10=1500 c11=1012 c12=1500 step=0
4097.4384,MEAS ms=111209 seq=3464 src=1 c9=1057 c10=1500 c11=1012 c12=1500 step=1
4097.6183,MEAS ms=111254 seq=3465 src=1 c9=1057 c10=1500 c11=1012 c12=1500 step=1
4097.6183,MEAS ms=111299 seq=3466 src=1 c9=1057 c10=1500 c11=1012 c12=1500 step=1
4097.6183,MEAS ms=111344 seq=3467 src=1 c9=1057 c10=1500 c11=1012 c12=1500 step=1
4097.6183,MEAS ms=111389 seq=3468 src=1 c9=1057 c10=1500 c11=1012 c12=1500 step=1
4097.7283,MEAS ms=111434 seq=3469 src=1 c9=1057 c10=1500 c11=1012 c12=1500 step=1
4097.7283,MEAS ms=111479 seq=3470 src=1 c9=1057 c10=1500 c11=1012 c12=1500 step=1
4097.7283,MEAS ms=111524 seq=3471 src=1 c9=1056 c10=1500 c11=1012 c12=1500 step=1
4097.7620,MEAS ms=111544 seq=3472 src=1 c9=1056 c10=1500 c11=1012 c12=1500 step=1
4097.7621,MEAS ms=111552 seq=3473 src=1 c9=1057 c10=1500 c11=1012 c12=1500 step=1
4097.7621,MEAS ms=111561 seq=3474 src=1 c9=1057 c10=1499 c11=1012 c12=1500 step=1
4097.7621,MEAS ms=111570 seq=3475 src=1 c9=1057 c10=1499 c11=1012 c12=1500 step=1
4097.7895,MEAS ms=111578 seq=3476 src=1 c9=1057 c10=1499 c11=1012 c12=1500 step=1
4097.7896,MEAS ms=111587 seq=3477 src=1 c9=1057 c10=1499 c11=1012 c12=1500 step=1
4097.7896,MEAS ms=111596 seq=3478 src=1 c9=1057 c10=1500 c11=1010 c12=1500 step=1
4097.8982,MEAS ms=111605 seq=3479 src=1 c9=1057 c10=1500 c11=1010 c12=1500 step=1
4097.8982,MEAS ms=111614 seq=3480 src=1 c9=1057 c10=1500 c11=1010 c12=1500 step=1
4097.8982,MEAS ms=111624 seq=3481 src=1 c9=1057 c10=1500 c11=1010 c12=1500 step=1
4097.8982,MEAS ms=111669 seq=3482 src=1 c9=1057 c10=1500 c11=1012 c12=1500 step=1
4098.0333,MEAS ms=111714 seq=3483 src=1 c9=1057 c10=1500 c11=1012 c12=1500 step=1
4098.0333,MEAS ms=111759 seq=3484 src=1 c9=1057 c10=1500 c11=1012 c12=1500 step=1
4098.0333,MEAS ms=111804 seq=3485 src=1 c9=1057 c10=1500 c11=1012 c12=1500 step=1
4098.2134,MEAS ms=111849 seq=3486 src=1 c9=1057 c10=1500 c11=1012 c12=1500 step=1
4098.2134,MEAS ms=111894 seq=3487 src=1 c9=1057 c10=1500 c11=1012 c12=1500 step=1
4098.2134,MEAS ms=111939 seq=3488 src=1 c9=1057 c10=1500 c11=1012 c12=1500 step=1
4098.2134,MEAS ms=111984 seq=3489 src=1 c9=1057 c10=1500 c11=1012 c12=1500 step=1
4098.3232,MEAS ms=112029 seq=3490 src=1 c9=1057 c10=1500 c11=1012 c12=1500 step=1
4098.3232,MEAS ms=112074 seq=3491 src=1 c9=1057 c10=1500 c11=1012 c12=1500 step=1
4098.3232,MEAS ms=112119 seq=3492 src=1 c9=1057 c10=1500 c11=1012 c12=1500 step=1
4098.3585,MEAS ms=112139 seq=3493 src=1 c9=1057 c10=1500 c11=1012 c12=1500 step=1
4098.3585,MEAS ms=112147 seq=3494 src=1 c9=1057 c10=1500 c11=1012 c12=1500 step=1
4098.3585,MEAS ms=112156 seq=3495 src=1 c9=1057 c10=1500 c11=1012 c12=1500 step=1
4098.3585,MEAS ms=112165 seq=3496 src=1 c9=1057 c10=1500 c11=1012 c12=1500 step=1
