phase,channel,intended_us,label,t_start,t_end
steps,9,1016,0,4096.2836,4097.2943
steps,9,1047,1,4097.2944,4098.3022
steps,9,1078,2,4098.3023,4099.3075
steps,9,1109,3,4099.3076,4100.3116
steps,9,1141,4,4100.3117,4101.3142
steps,9,1172,5,4101.3142,4102.3180
steps,9,1203,6,4102.3181,4103.3240
steps,9,1234,7,4103.3241,4104.3344
steps,9,1266,8,4104.3345,4105.3446
steps,9,1297,9,4105.3447,4106.3458
steps,9,1328,10,4106.3459,4107.3475
steps,9,1359,11,4107.3476,4108.3571
steps,9,1391,12,4108.3572,4109.3662
steps,9,1422,13,4109.3663,4110.3742
steps,9,1453,14,4110.3743,4111.3757
steps,9,1484,15,4111.3758,4112.3785
steps,9,1516,16,4112.3786,4113.3871
steps,9,1547,17,4113.3871,4114.3889
steps,9,1578,18,4114.3890,4115.3970
steps,9,1609,19,4115.3970,4116.3980
steps,9,1641,20,4116.3981,4117.4087
steps,9,1672,21,4117.4087,4118.4178
steps,9,1703,22,4118.4179,4119.4254
steps,9,1734,23,4119.4255,4120.4326
steps,9,1766,24,4120.4327,4121.4404
steps,9,1797,25,4121.4405,4122.4464
steps,9,1828,26,4122.4465,4123.4486
steps,9,1859,27,4123.4486,4124.4571
steps,9,1891,28,4124.4572,4125.4625
steps,9,1922,29,4125.4626,4126.4642
steps,9,1953,30,4126.4642,4127.4693
steps,9,1984,31,4127.4693,4128.4705
ramp,10,1000,1000,4128.4706,4129.4769
ramp,10,1010,1010,4129.4769,4130.4814
ramp,10,1020,1020,4130.4814,4131.4823
ramp,10,1030,1030,4131.4824,4132.4888
ramp,10,1040,1040,4132.4889,4133.4947
ramp,10,1050,1050,4133.4948,4134.4972
ramp,10,1060,1060,4134.4973,4135.4998
ramp,10,1070,1070,4135.4999,4136.5010
ramp,10,1080,1080,4136.5011,4137.5047
ramp,10,1090,1090,4137.5048,4138.5144
ramp,10,1100,1100,4138.5145,4139.5181
ramp,10,1110,1110,4139.5182,4140.5212
ramp,10,1120,1120,4140.5212,4141.5319
ramp,10,1130,1130,4141.5320,4142.5341
ramp,10,1140,1140,4142.5342,4143.5404
ramp,10,1150,1150,4143.5405,4144.5506
ramp,10,1160,1160,4144.5507,4145.5600
ramp,10,1170,1170,4145.5601,4146.5633
ramp,10,1180,1180,4146.5633,4147.5679
ramp,10,1190,1190,4147.5680,4148.5704
ramp,10,1200,1200,4148.5705,4149.5707
ramp,10,1210,1210,4149.5708,4150.5715
ramp,10,1220,1220,4150.5715,4151.5716
ramp,10,1230,1230,4151.5716,4152.5744
ramp,10,1240,1240,4152.5745,4153.5786
ramp,10,1250,1250,4153.5787,4154.5812
ramp,10,1260,1260,4154.5813,4155.5875
ramp,10,1270,1270,4155.5876,4156.5981
ramp,10,1280,1280,4156.5981,4157.6084
ramp,10,1290,1290,4157.6085,4158.6118
ramp,10,1300,1300,4158.6119,4159.6171
ramp,10,1310,1310,4159.6171,4160.6265
ramp,10,1320,1320,4160.6265,4161.6277
ramp,10,1330,1330,4161.6278,4162.6331
ramp,10,1340,1340,4162.6331,4163.6403
ramp,10,1350,1350,4163.6404,4164.6409
ramp,10,1360,1360,4164.6410,4165.6507
ramp,10,1370,1370,4165.6508,4166.6529
ramp,10,1380,1380,4166.6530,4167.6597
ramp,10,1390,1390,4167.6598,4168.6666
ramp,10,1400,1400,4168.6667,4169.6700
ramp,10,1410,1410,4169.6701,4170.6766
ramp,10,1420,1420,4170.6767,4171.6846
ramp,10,1430,1430,4171.6847,4172.6849
ramp,10,1440,1440,4172.6850,4173.6953
ramp,10,1450,1450,4173.6954,4174.6991
ramp,10,1460,1460,4174.6992,4175.7048
ramp,10,1470,1470,4175.7049,4176.7076
ramp,10,1480,1480,4176.7077,4177.7127
ramp,10,1490,1490,4177.7128,4178.7228
ramp,10,1500,1500,4178.7229,4179.7237
ramp,10,1510,1510,4179.7238,4180.7290
ramp,10,1520,1520,4180.7290,4181.7322
ramp,10,1530,1530,4181.7322,4182.7341
ramp,10,1540,1540,4182.7342,4183.7435
ramp,10,1550,1550,4183.7436,4184.7472
ramp,10,1560,1560,4184.7473,4185.7561
ramp,10,1570,1570,4185.7562,4186.7615
ramp,10,1580,1580,4186.7616,4187.7670
ramp,10,1590,1590,4187.7671,4188.7742
ramp,10,1600,1600,4188.7743,4189.7773
ramp,10,1610,1610,4189.7774,4190.7872
ramp,10,1620,1620,4190.7873,4191.7901
ramp,10,1630,1630,4191.7902,4192.7946
ramp,10,1640,1640,4192.7947,4193.7961
ramp,10,1650,1650,4193.7962,4194.7994
ramp,10,1660,1660,4194.7994,4195.8097
ramp,10,1670,1670,4195.8098,4196.8133
ramp,10,1680,1680,4196.8134,4197.8154
ramp,10,1690,1690,4197.8155,4198.8251
ramp,10,1700,1700,4198.8252,4199.8316
ramp,10,1710,1710,4199.8316,4200.8388
ramp,10,1720,1720,4200.8389,4201.8452
ramp,10,1730,1730,4201.8453,4202.8496
ramp,10,1740,1740,4202.8497,4203.8534
ramp,10,1750,1750,4203.8535,4204.8561
ramp,10,1760,1760,4204.8561,4205.8596
ramp,10,1770,1770,4205.8597,4206.8627
ramp,10,1780,1780,4206.8628,4207.8656
ramp,10,1790,1790,4207.8657,4208.8678
ramp,10,1800,1800,4208.8679,4209.8719
ramp,10,1810,1810,4209.8719,4210.8734
ramp,10,1820,1820,4210.8735,4211.8830
ramp,10,1830,1830,4211.8831,4212.8885
ramp,10,1840,1840,4212.8886,4213.8933
ramp,10,1850,1850,4213.8934,4214.8951
ramp,10,1860,1860,4214.8952,4215.9034
ramp,10,1870,1870,4215.9034,4216.9050
ramp,10,1880,1880,4216.9051,4217.9099
ramp,10,1890,1890,4217.9100,4218.9206
ramp,10,1900,1900,4218.9207,4219.9234
ramp,10,1910,1910,4219.9235,4220.9267
ramp,10,1920,1920,4220.9267,4221.9362
ramp,10,1930,1930,4221.9363,4222.9363
ramp,10,1940,1940,4222.9364,4223.9396
ramp,10,1950,1950,4223.9397,4224.9459
ramp,10,1960,1960,4224.9460,4225.9492
ramp,10,1970,1970,4225.9493,4226.9545
ramp,10,1980,1980,4226.9546,4227.9560
ramp,10,1990,1990,4227.9561,4228.9563
ramp,10,2000,2000,4228.9563,4229.9585
